RAK001	Biografi
RAK002	Bisnia dan Keuangan
RAK003	Fiksi Anak-anak
RAK004	Fiksi Coming-of-Age
RAK005	Fiksi Drama
RAK006	Fiksi Fantasi
RAK007	Fiksi Horor
RAK008	Fiksi Humor
RAK009	Fiksi Ilmiah
RAK010	Fiksi Misteri 
RAK011	Fiksi Petualangan
RAK012	Fiksi Realistik
RAK013	Fiksi Religius
RAK014	Fiksi Romantis
RAK015	Fiksi Sejarah
RAK016	Fiksi Supernatural
RAK017	Fiksi Suspense
RAK018	Fiksi Thriller Psikologis
RAK019	Kumpulan Cerita
RAK020	Kumpulan Pidato
RAK021	Memoar
RAK022	Misteri Sejarah
RAK023	Petualangan Anak-anak
RAK024	Puisi
RAK025	Referensi
RAK026	Roman Islami
RAK027	Sastra
RAK028	Sastra Historis
RAK029	Sastra Islami
RAK030	Sastra Romantis
RAK031	Sastra Satire
RAK032	Sastra Sejarah
RAK033	Sejarah
RAK034	Thriller
RAK035	Travelogue
RAK036	Pengembangan Diri
