PTG008	A025	B003	PMJ001	2023-01-15	2023-01-22
PTG006	A018	B010	PMJ002	2023-01-18	2023-01-25
PTG013	A041	B088	PMJ003	2023-02-12	2023-02-19
PTG009	A012	B051	PMJ004	2023-02-14	2023-02-21
PTG002	A027	B017	PMJ005	2023-03-06	2023-03-13
PTG011	A035	B079	PMJ006	2023-03-16	2023-03-23
PTG015	A043	B002	PMJ007	2023-04-08	2023-04-15
PTG012	A008	B025	PMJ008	2023-04-12	2023-04-19
PTG004	A037	B012	PMJ009	2023-05-14	2023-05-21
PTG001	A049	B037	PMJ010	2023-05-27	2023-06-04
PTG014	A022	B081	PMJ011	2023-06-13	2023-06-20
PTG010	A031	B043	PMJ012	2023-06-21	2023-11-28
PTG005	A050	B052	PMJ013	2023-07-18	2023-07-25
PTG003	A020	B018	PMJ014	2023-07-19	2023-07-26
PTG007	A033	B006	PMJ015	2023-08-03	2023-08-10
PTG015	A045	B099	PMJ016	2023-08-18	2023-08-25
PTG011	A023	B022	PMJ017	2023-09-12	2023-09-19
PTG008	A040	B059	PMJ018	2023-09-14	2023-09-21
PTG006	A017	B084	PMJ019	2023-10-07	2023-10-14
PTG001	A026	B031	PMJ020	2023-10-23	2023-10-30
PTG009	A032	B073	PMJ021	2023-11-10	2023-11-17
PTG013	A016	B055	PMJ022	2023-11-22	2023-11-29
PTG002	A038	B014	PMJ023	2023-12-15	2023-12-22
PTG012	A030	B024	PMJ024	2023-12-16	2023-12-23
PTG004	A021	B042	PMJ025	2024-01-12	2024-01-17
PTG014	A019	B007	PMJ026	2024-01-14	2024-01-21
PTG010	A044	B046	PMJ027	2024-02-18	2024-02-25
PTG005	A009	B067	PMJ028	2024-02-20	2024-02-27
PTG003	A028	B092	PMJ029	2024-03-03	2024-03-10
PTG007	A036	B058	PMJ030	2024-03-15	2024-03-22
